Data;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
2023-06-01;0;78.0;3,3
2023-06-01;0;80.0;3,4
2023-06-01;0;86.0;2,4
2023-06-01;0;89.0;1,4
2023-06-01;0;90.0;,9
2023-06-01;0;100.0;,8
2023-06-01;0;;1
2023-06-01;0;;1,2
2023-06-01;0;;1,2
2023-06-01;0;;1,4
2023-06-01;2,8;;2,8
2023-06-01;0;81.0;5,4
2023-06-01;0;72.0;7,8
2023-06-01;0;68.0;7,7
2023-06-01;0;68.0;7,2
2023-06-01;0;67.0;6,8
2023-06-01;0;65.0;6,2
2023-06-01;0;63.0;5
2023-06-01;0;65.0;6
2023-06-01;0;67.0;6,5
2023-06-01;0;70.0;5,8
2023-06-01;0;76.0;4,6
2023-06-01;0;77.0;4,6
2023-06-01;0;78.0;4,6
2023-06-02;0;83.0;3
2023-06-02;0;86.0;1,8
2023-06-02;0;89.0;1,8
2023-06-02;0;89.0;2,8
2023-06-02;0;84.0;4,3
2023-06-02;,2;88.0;1,4
2023-06-02;0;91.0;1,3
2023-06-02;0;;1,5
2023-06-02;0;;1,8
2023-06-02;0;;1,8
2023-06-02;0;92.0;2,4
2023-06-02;0;75.0;4,8
2023-06-02;0;82.0;6,2
2023-06-02;0;73.0;6,9
2023-06-02;0;62.0;7,8
2023-06-02;0;62.0;8,3
2023-06-02;0;61.0;8,9
2023-06-02;0;60.0;8,2
2023-06-02;0;63.0;7,9
2023-06-02;0;67.0;7,7
2023-06-02;0;71.0;7,1
2023-06-02;0;75.0;7
2023-06-02;0;78.0;5
2023-06-02;0;81.0;3,3
2023-06-03;0;79.0;5,7
2023-06-03;0;78.0;6,9
2023-06-03;0;77.0;7,8
2023-06-03;0;77.0;7
2023-06-03;0;77.0;7,4
2023-06-03;,8;83.0;6,7
2023-06-03;0;87.0;5,4
2023-06-03;0;81.0;5,5
2023-06-03;0;78.0;5,9
2023-06-03;0;76.0;7,2
2023-06-03;0;76.0;6,5
2023-06-03;0;72.0;6,8
2023-06-03;,2;63.0;9,1
2023-06-03;0;57.0;10
2023-06-03;0;51.0;11,4
2023-06-03;0;51.0;11,4
2023-06-03;0;55.0;11
2023-06-03;0;52.0;10,5
2023-06-03;0;59.0;8
2023-06-03;0;63.0;7,7
2023-06-03;0;70.0;7,8
2023-06-03;0;74.0;7,6
2023-06-03;0;75.0;5,8
2023-06-03;0;74.0;4,3
2023-06-04;0;75.0;3,9
2023-06-04;0;77.0;3,9
2023-06-04;0;75.0;2,9
2023-06-04;0;75.0;3,3
2023-06-04;0;81.0;2,6
2023-06-04;0;82.0;2,3
2023-06-04;0;77.0;5,2
2023-06-04;0;81.0;3,8
2023-06-04;0;82.0;5
2023-06-04;0;86.0;3
2023-06-04;0;74.0;4,4
2023-06-04;0;69.0;6,8
2023-06-04;0;65.0;7
2023-06-04;0;58.0;9,1
2023-06-04;0;54.0;9,1
2023-06-04;0;55.0;8,8
2023-06-04;0;52.0;8,6
2023-06-04;0;56.0;7,3
2023-06-04;0;58.0;6,9
2023-06-04;0;64.0;7,7
2023-06-04;0;68.0;7,7
2023-06-04;0;72.0;6,4
2023-06-04;0;76.0;4,4
2023-06-04;0;79.0;3,4
2023-06-05;0;78.0;3,3
2023-06-05;0;79.0;3,9
2023-06-05;0;77.0;5,7
2023-06-05;0;76.0;5,6
2023-06-05;0;79.0;5,3
2023-06-05;,2;82.0;5,6
2023-06-05;2,2;86.0;4,7
2023-06-05;0;84.0;4,3
2023-06-05;0;87.0;4,5
2023-06-05;0;80.0;4,9
2023-06-05;0;78.0;6
2023-06-05;0;75.0;6,9
2023-06-05;0;66.0;9,2
2023-06-05;0;63.0;8,8
2023-06-05;0;57.0;8,8
2023-06-05;0;52.0;8,8
2023-06-05;0;58.0;7,4
2023-06-05;0;56.0;6,2
2023-06-05;0;56.0;7
2023-06-05;0;60.0;7
2023-06-05;0;65.0;6,9
2023-06-05;0;70.0;6,9
2023-06-05;0;72.0;5,4
2023-06-05;0;74.0;3,5
2023-06-06;0;76.0;2,9
2023-06-06;0;76.0;5,2
2023-06-06;0;76.0;5,2
2023-06-06;0;74.0;3,5
2023-06-06;0;79.0;1,7
2023-06-06;0;84.0;1,2
2023-06-06;,2;85.0;,7
2023-06-06;1,4;89.0;2,3
2023-06-06;0;99.0;1,3
2023-06-06;0;96.0;3,5
2023-06-06;0;92.0;1,9
2023-06-06;,2;83.0;6,6
2023-06-06;2,6;87.0;6,6
2023-06-06;1,2;68.0;7,3
2023-06-06;0;67.0;8,9
2023-06-06;0;65.0;7,1
2023-06-06;0;62.0;8,5
2023-06-06;0;62.0;9
2023-06-06;0;63.0;8,1
2023-06-06;0;66.0;8,5
2023-06-06;0;71.0;8,5
2023-06-06;0;79.0;6,5
2023-06-06;0;76.0;6,1
2023-06-06;0;74.0;6,6
2023-06-07;0;78.0;6
2023-06-07;0;78.0;4,4
2023-06-07;0;79.0;4,2
2023-06-07;0;81.0;3,8
2023-06-07;0;86.0;1,8
2023-06-07;0;89.0;,1
2023-06-07;0;95.0;1
2023-06-07;0;;1,6
2023-06-07;0;;2
2023-06-07;,8;;4
2023-06-07;,6;;4
2023-06-07;0;82.0;7,2
2023-06-07;0;76.0;6
2023-06-07;0;72.0;7,6
2023-06-07;0;63.0;7,7
2023-06-07;0;62.0;8,3
2023-06-07;0;60.0;10
2023-06-07;0;61.0;9,5
2023-06-07;0;64.0;9,3
2023-06-07;0;64.0;7,7
2023-06-07;0;68.0;7
2023-06-07;0;74.0;6,9
2023-06-07;0;78.0;5,6
2023-06-07;0;78.0;6,1
2023-06-08;0;78.0;5,3
2023-06-08;0;78.0;5,1
2023-06-08;0;78.0;5
2023-06-08;0;77.0;8,6
2023-06-08;0;77.0;6,3
2023-06-08;0;76.0;7,3
2023-06-08;0;75.0;6,9
2023-06-08;,2;81.0;9,5
2023-06-08;0;84.0;9,5
2023-06-08;0;85.0;2,6
2023-06-08;0;83.0;4,2
2023-06-08;0;73.0;6,2
2023-06-08;0;67.0;7,8
2023-06-08;0;62.0;8,1
2023-06-08;0;59.0;9,5
2023-06-08;0;64.0;8,8
2023-06-08;0;64.0;8,3
2023-06-08;0;62.0;10,5
2023-06-08;0;62.0;10,5
2023-06-08;0;66.0;8,3
2023-06-08;0;70.0;7,8
2023-06-08;0;74.0;7,2
2023-06-08;0;77.0;5,1
2023-06-08;0;79.0;4,1
2023-06-09;0;80.0;3,4
2023-06-09;0;81.0;4,7
2023-06-09;0;79.0;4,7
2023-06-09;0;78.0;5,3
2023-06-09;0;76.0;5,3
2023-06-09;0;76.0;5,3
2023-06-09;0;77.0;5,3
2023-06-09;0;80.0;3,2
2023-06-09;0;88.0;1,5
2023-06-09;0;89.0;1,5
2023-06-09;0;77.0;3
2023-06-09;0;70.0;4,7
2023-06-09;0;64.0;6,4
2023-06-09;0;61.0;6,4
2023-06-09;0;60.0;5,8
2023-06-09;0;62.0;7,3
2023-06-09;0;59.0;7,5
2023-06-09;0;58.0;7,5
2023-06-09;0;63.0;8,7
2023-06-09;0;63.0;8,7
2023-06-09;0;71.0;9,3
2023-06-09;0;75.0;8,7
2023-06-09;0;76.0;8,1
2023-06-09;0;75.0;5,8
2023-06-10;0;79.0;5,1
2023-06-10;0;82.0;4,3
2023-06-10;0;85.0;3,7
2023-06-10;0;87.0;2,6
2023-06-10;8,8;92.0;4,8
2023-06-10;0;;5,1
2023-06-10;0;;4,5
2023-06-10;0;;2,5
2023-06-10;0;;2,7
2023-06-10;0;;3,9
2023-06-10;0;87.0;5
2023-06-10;0;77.0;6,4
2023-06-10;0;71.0;6,9
2023-06-10;0;69.0;8,2
2023-06-10;0;64.0;9,5
2023-06-10;0;60.0;9,5
2023-06-10;0;59.0;9,5
2023-06-10;0;58.0;10
2023-06-10;0;60.0;9,1
2023-06-10;0;63.0;8,9
2023-06-10;0;66.0;8,5
2023-06-10;0;73.0;7,5
2023-06-10;0;76.0;5,1
2023-06-10;0;81.0;5
2023-06-11;0;82.0;2,9
2023-06-11;0;78.0;5
2023-06-11;0;78.0;5
2023-06-11;0;78.0;4,4
2023-06-11;0;77.0;4,9
2023-06-11;0;76.0;5,9
2023-06-11;0;78.0;4
2023-06-11;0;84.0;3,4
2023-06-11;0;89.0;1,5
2023-06-11;0;91.0;1,9
2023-06-11;0;82.0;1,7
2023-06-11;0;69.0;5,2
2023-06-11;0;65.0;8,2
2023-06-11;0;63.0;8,5
2023-06-11;0;64.0;8,5
2023-06-11;0;62.0;9,3
2023-06-11;0;57.0;9,3
2023-06-11;0;57.0;8,9
2023-06-11;0;55.0;8
2023-06-11;0;60.0;7,6
2023-06-11;0;63.0;7,2
2023-06-11;0;74.0;4,8
2023-06-11;0;75.0;4,9
2023-06-11;0;78.0;5,1
2023-06-12;0;79.0;5,8
2023-06-12;0;77.0;6,6
2023-06-12;0;74.0;7,6
2023-06-12;0;75.0;7,3
2023-06-12;0;77.0;7,2
2023-06-12;0;78.0;5,9
2023-06-12;0;80.0;4,2
2023-06-12;0;86.0;2
2023-06-12;0;86.0;3,6
2023-06-12;0;86.0;3,6
2023-06-12;0;87.0;6,2
2023-06-12;0;78.0;7,1
2023-06-12;0;74.0;7,4
2023-06-12;0;68.0;7,6
2023-06-12;0;60.0;7
2023-06-12;0;55.0;8,9
2023-06-12;0;59.0;8,9
2023-06-12;0;58.0;8,5
2023-06-12;0;58.0;9,1
2023-06-12;0;63.0;8,4
2023-06-12;0;67.0;8,6
2023-06-12;0;72.0;7,3
2023-06-12;0;75.0;5,2
2023-06-12;0;75.0;6
2023-06-13;0;75.0;5,7
2023-06-13;0;77.0;6,6
2023-06-13;0;80.0;5,8
2023-06-13;0;77.0;4,2
2023-06-13;0;76.0;4,9
2023-06-13;0;78.0;4,9
2023-06-13;0;80.0;3,1
2023-06-13;0;85.0;3,2
2023-06-13;0;87.0;3,3
2023-06-13;0;81.0;4,2
2023-06-13;0;73.0;6,3
2023-06-13;0;67.0;6,7
2023-06-13;0;64.0;8,2
2023-06-13;0;62.0;7,9
2023-06-13;0;61.0;7,9
2023-06-13;0;60.0;6,7
2023-06-13;0;58.0;7,2
2023-06-13;0;58.0;8,1
2023-06-13;0;62.0;7,1
2023-06-13;0;65.0;7,3
2023-06-13;0;70.0;7,2
2023-06-13;0;75.0;6,8
2023-06-13;0;77.0;5,4
2023-06-13;0;78.0;2,8
2023-06-14;0;81.0;2,3
2023-06-14;0;84.0;2,1
2023-06-14;0;81.0;3,4
2023-06-14;0;79.0;4
2023-06-14;0;74.0;4,7
2023-06-14;0;79.0;4,8
2023-06-14;0;84.0;2
2023-06-14;0;87.0;2,1
2023-06-14;0;86.0;4
2023-06-14;0;86.0;3,4
2023-06-14;0;76.0;4,7
2023-06-14;0;66.0;5,5
2023-06-14;0;63.0;7,3
2023-06-14;0;63.0;7,6
2023-06-14;0;58.0;6,9
2023-06-14;0;57.0;7,6
2023-06-14;0;50.0;8,5
2023-06-14;0;50.0;8,1
2023-06-14;0;58.0;7,6
2023-06-14;0;60.0;6,9
2023-06-14;0;65.0;7,3
2023-06-14;0;71.0;5,7
2023-06-14;0;73.0;5,1
2023-06-14;0;77.0;4,4
2023-06-15;0;79.0;2,5
2023-06-15;0;82.0;1,7
2023-06-15;0;84.0;1,7
2023-06-15;0;84.0;1,5
2023-06-15;0;83.0;1,7
2023-06-15;0;86.0;1,5
2023-06-15;,2;88.0;2,6
2023-06-15;,4;90.0;,5
2023-06-15;6;;5,1
2023-06-15;,2;;4,2
2023-06-15;2,6;;5
2023-06-15;,6;;4,2
2023-06-15;2,8;;6,1
2023-06-15;3;;8,3
2023-06-15;0;76.0;4
2023-06-15;0;70.0;5,3
2023-06-15;0;62.0;8
2023-06-15;0;59.0;8,5
2023-06-15;0;60.0;8,4
2023-06-15;0;63.0;7,3
2023-06-15;0;70.0;6,9
2023-06-15;0;78.0;5,5
2023-06-15;0;79.0;3,9
2023-06-15;0;80.0;2,9
2023-06-16;0;82.0;2,5
2023-06-16;0;85.0;,8
2023-06-16;0;89.0;,8
2023-06-16;0;90.0;1,9
2023-06-16;0;92.0;1,8
2023-06-16;0;;1,4
2023-06-16;0;;2,8
2023-06-16;0;94.0;3,1
2023-06-16;0;95.0;2,7
2023-06-16;7,2;;5,2
2023-06-16;,2;;5
2023-06-16;0;90.0;5,2
2023-06-16;0;79.0;6,2
2023-06-16;0;72.0;6,2
2023-06-16;0;63.0;6,7
2023-06-16;0;58.0;7,4
2023-06-16;0;60.0;5,6
2023-06-16;0;58.0;5,6
2023-06-16;0;64.0;5,5
2023-06-16;0;67.0;5,4
2023-06-16;0;70.0;4,5
2023-06-16;0;74.0;4,5
2023-06-16;0;76.0;3,9
2023-06-16;0;81.0;4,1
2023-06-17;0;81.0;3,3
2023-06-17;0;80.0;3,9
2023-06-17;0;82.0;3,7
2023-06-17;0;81.0;3,5
2023-06-17;0;82.0;4,7
2023-06-17;0;86.0;4,2
2023-06-17;0;86.0;2
2023-06-17;0;86.0;7,4
2023-06-17;0;86.0;4
2023-06-17;0;83.0;4
2023-06-17;,4;87.0;3,6
2023-06-17;0;80.0;3,9
2023-06-17;0;75.0;5,4
2023-06-17;0;68.0;5
2023-06-17;0;63.0;6,6
2023-06-17;0;67.0;6,3
2023-06-17;,4;76.0;5,8
2023-06-17;,2;73.0;4,1
2023-06-17;0;68.0;4,1
2023-06-17;0;61.0;4,4
2023-06-17;0;66.0;4,4
2023-06-17;0;75.0;4
2023-06-17;0;80.0;1,5
2023-06-17;0;84.0;,9
2023-06-18;0;86.0;1,1
2023-06-18;0;89.0;0
2023-06-18;0;91.0;0
2023-06-18;0;;0
2023-06-18;0;98.0;,5
2023-06-18;0;96.0;1
2023-06-18;0;93.0;1,2
2023-06-18;0;;1,9
2023-06-18;0;;2,1
2023-06-18;0;;2,1
2023-06-18;0;;2,2
2023-06-18;0;76.0;3,7
2023-06-18;0;70.0;5,5
2023-06-18;0;58.0;6,6
2023-06-18;0;61.0;7,9
2023-06-18;0;61.0;9,3
2023-06-18;0;62.0;8,3
2023-06-18;0;61.0;8,8
2023-06-18;0;58.0;8,8
2023-06-18;0;63.0;9,1
2023-06-18;0;69.0;7,9
2023-06-18;0;76.0;7,4
2023-06-18;0;78.0;7,3
2023-06-18;0;77.0;4,3
2023-06-19;0;78.0;5,4
2023-06-19;0;77.0;5,7
2023-06-19;0;78.0;4,9
